iter	Accuracy	MultiClass
762	0.9292246819	0.3214794913
763	0.929228253	0.3212485983
764	0.9293425277	0.3209914245
765	0.9294728723	0.320566884
766	0.9296067879	0.320263286
767	0.9297549879	0.31986126
768	0.9298192674	0.319590025
769	0.929969253	0.3192407005
770	0.9301353084	0.3188583433
771	0.9302763662	0.3185220755
772	0.9303567156	0.3183472877
773	0.9304334939	0.3181562068
774	0.9305709807	0.3178186278
775	0.930690612	0.3175119888
776	0.9307727469	0.3170782416
777	0.9308138144	0.3168601264
778	0.9310548626	0.3161875071
779	0.9311405686	0.3157807383
780	0.9312851975	0.3154901414
781	0.9314137565	0.315111997
782	0.9315958818	0.3146880982
783	0.9316137372	0.314531361
784	0.9317476529	0.3142535139
785	0.9318744264	0.3139603224
786	0.9319137083	0.3137477033
787	0.9319262071	0.313537679
788	0.9320869059	0.3131758277
789	0.9322761734	0.3126257133
790	0.9323225975	0.3124439507
791	0.9326547083	0.3116985985
792	0.932749342	0.3114179057
793	0.9328225493	0.3111288432
794	0.9328796866	0.3109819544
795	0.9331635878	0.3104332629
796	0.9332867902	0.3099235464
797	0.9333492842	0.3097524971
798	0.9333867806	0.3094605609
799	0.9335064119	0.3091981421
800	0.9335546215	0.3088715552
801	0.9338313805	0.3082906403
802	0.9339045878	0.3079248273
803	0.9340920697	0.3074917218
804	0.9341938456	0.3071588019
805	0.9343938263	0.3067819967
806	0.9344331082	0.3065069953
807	0.9345134576	0.3063479426
808	0.9345402408	0.3060482784
809	0.9347348649	0.3056588628
810	0.9347920022	0.3054709066
811	0.9348419974	0.3051196849
812	0.9349419877	0.3049138175
813	0.9350901877	0.3045225326
814	0.9351616094	0.3041910914
815	0.9352740986	0.3038972302
816	0.9352990962	0.3037037221
817	0.9353848022	0.3034928607
818	0.9356419202	0.3030008044
819	0.9356526335	0.3027801225
820	0.9357722648	0.302627933
821	0.9358633275	0.3022983889
822	0.93611866	0.3017581508
823	0.9362150793	0.3014016561
824	0.9363668503	0.3009897818
825	0.9364364865	0.3007759631
826	0.9365293347	0.3005009338
827	0.9365418335	0.3003609362
828	0.9366525371	0.3001524462
829	0.9368346624	0.2997891721
830	0.9368793009	0.2995549313
831	0.9368917997	0.2992682123
832	0.9370007178	0.2990673946
833	0.9370953515	0.2987630713
834	0.9372864045	0.298255503
835	0.9372899756	0.2981046247
836	0.9373810383	0.2977814137
837	0.9376292286	0.2973347492
838	0.9376917226	0.2971542141
839	0.9378542069	0.2968380616
840	0.937943484	0.296462205
841	0.9379774093	0.2961138011
842	0.9379881226	0.2959593796
843	0.9381684623	0.2956427249
844	0.9381827467	0.2954483519
845	0.9382095298	0.2950361706
846	0.9382934503	0.2947162796
847	0.938430937	0.2943069162
848	0.9385077153	0.2940389175
849	0.9386452021	0.2936382864
850	0.9388451828	0.2931722042
851	0.9390308792	0.2927649332
852	0.9390773033	0.2925871322
853	0.9391683659	0.2923713048
854	0.9392665707	0.2920557661
855	0.939343349	0.2917943794
856	0.939405843	0.291523814
857	0.9395004767	0.2912581867
858	0.9395433298	0.2910281308
859	0.9396326069	0.2908545426
860	0.9397397394	0.2905936861
861	0.9398540141	0.2902537356
862	0.9399665032	0.2899599023
863	0.9402932574	0.2891707485
864	0.9403628936	0.2889140768
865	0.940509308	0.2885157056
866	0.9405593032	0.288176899
867	0.9407574984	0.2876279006
868	0.9408378478	0.2873739909
869	0.9409146261	0.2871939581
870	0.9410128309	0.286881544
871	0.9410574695	0.2866519066
872	0.9412110261	0.2861766734
873	0.9413270863	0.2858680536
874	0.9413895803	0.2855981577
875	0.9414895706	0.285287027
876	0.9415592068	0.2850199769
877	0.9416663393	0.2847107991
878	0.9417681152	0.2843870301
879	0.9418252526	0.2841968141
880	0.9419859514	0.2838006748
881	0.9420805851	0.2834036707
882	0.9422216429	0.282985519
883	0.9425180429	0.2823480247
884	0.9426287465	0.282093836
